year,sex,age,mu
2025,F,0,0.020000564484452577
2025,F,1,0.001845462232192209
2025,F,2,0.001845462232192209
2025,F,3,0.001845462232192209
2025,F,4,0.001845462232192209
2025,F,5,4.0357691206334293e-4
2025,F,6,4.0357691206334293e-4
2025,F,7,4.0357691206334293e-4
2025,F,8,4.0357691206334293e-4
2025,F,9,4.0357691206334293e-4
2025,F,10,4.5508736879535365e-4
2025,F,11,4.5508736879535365e-4
2025,F,12,4.5508736879535365e-4
2025,F,13,4.5508736879535365e-4
2025,F,14,4.5508736879535365e-4
2025,F,15,0.001013487560532558
2025,F,16,0.001013487560532558
2025,F,17,0.001013487560532558
2025,F,18,0.001013487560532558
2025,F,19,0.001013487560532558
2025,F,20,0.001722282401038036
2025,F,21,0.001722282401038036
2025,F,22,0.001722282401038036
2025,F,23,0.001722282401038036
2025,F,24,0.001722282401038036
2025,F,25,0.0028600607362642685
2025,F,26,0.0028600607362642685
2025,F,27,0.0028600607362642685
2025,F,28,0.0028600607362642685
2025,F,29,0.0028600607362642685
2025,F,30,0.004070996843436094
2025,F,31,0.004070996843436094
2025,F,32,0.004070996843436094
2025,F,33,0.004070996843436094
2025,F,34,0.004070996843436094
2025,F,35,0.005246695672907085
2025,F,36,0.005246695672907085
2025,F,37,0.005246695672907085
2025,F,38,0.005246695672907085
2025,F,39,0.005246695672907085
2025,F,40,0.006628530011840078
2025,F,41,0.006628530011840078
2025,F,42,0.006628530011840078
2025,F,43,0.006628530011840078
2025,F,44,0.006628530011840078
2025,F,45,0.007919161818593649
2025,F,46,0.007919161818593649
2025,F,47,0.007919161818593649
2025,F,48,0.007919161818593649
2025,F,49,0.007919161818593649
2025,F,50,0.009869885405550893
2025,F,51,0.009869885405550893
2025,F,52,0.009869885405550893
2025,F,53,0.009869885405550893
2025,F,54,0.009869885405550893
2025,F,55,0.01335686314282498
2025,F,56,0.01335686314282498
2025,F,57,0.01335686314282498
2025,F,58,0.01335686314282498
2025,F,59,0.01335686314282498
2025,F,60,0.017999252739714398
2025,F,61,0.017999252739714398
2025,F,62,0.017999252739714398
2025,F,63,0.017999252739714398
2025,F,64,0.017999252739714398
2025,F,65,0.02603415886744944
2025,F,66,0.02603415886744944
2025,F,67,0.02603415886744944
2025,F,68,0.02603415886744944
2025,F,69,0.02603415886744944
2025,F,70,0.036928650769600994
2025,F,71,0.036928650769600994
2025,F,72,0.036928650769600994
2025,F,73,0.036928650769600994
2025,F,74,0.036928650769600994
2025,F,75,0.05412494788834145
2025,F,76,0.05412494788834145
2025,F,77,0.05412494788834145
2025,F,78,0.05412494788834145
2025,F,79,0.05412494788834145
2025,F,80,0.07476377294588235
2025,F,81,0.07476377294588235
2025,F,82,0.07476377294588235
2025,F,83,0.07476377294588235
2025,F,84,0.07476377294588235
2025,F,85,0.1095594663656417
2025,F,86,0.1095594663656417
2025,F,87,0.1095594663656417
2025,F,88,0.1095594663656417
2025,F,89,0.1095594663656417
2025,F,90,0.15847758538603732
2025,F,91,0.15847758538603732
2025,F,92,0.15847758538603732
2025,F,93,0.15847758538603732
2025,F,94,0.15847758538603732
2025,F,95,0.22707237982242953
2025,F,96,0.22707237982242953
2025,F,97,0.22707237982242953
2025,F,98,0.22707237982242953
2025,F,99,0.22707237982242953
2025,F,100,0.22707237982242953
2025,M,0,0.025175007924293568
2025,M,1,0.0023338473670961074
2025,M,2,0.0023338473670961074
2025,M,3,0.0023338473670961074
2025,M,4,0.0023338473670961074
2025,M,5,5.885671794099328e-4
2025,M,6,5.885671794099328e-4
2025,M,7,5.885671794099328e-4
2025,M,8,5.885671794099328e-4
2025,M,9,5.885671794099328e-4
2025,M,10,6.465338900239574e-4
2025,M,11,6.465338900239574e-4
2025,M,12,6.465338900239574e-4
2025,M,13,6.465338900239574e-4
2025,M,14,6.465338900239574e-4
2025,M,15,0.0015384196960658166
2025,M,16,0.0015384196960658166
2025,M,17,0.0015384196960658166
2025,M,18,0.0015384196960658166
2025,M,19,0.0015384196960658166
2025,M,20,0.002970653123691766
2025,M,21,0.002970653123691766
2025,M,22,0.002970653123691766
2025,M,23,0.002970653123691766
2025,M,24,0.002970653123691766
2025,M,25,0.004467887495991635
2025,M,26,0.004467887495991635
2025,M,27,0.004467887495991635
2025,M,28,0.004467887495991635
2025,M,29,0.004467887495991635
2025,M,30,0.005905186356356781
2025,M,31,0.005905186356356781
2025,M,32,0.005905186356356781
2025,M,33,0.005905186356356781
2025,M,34,0.005905186356356781
2025,M,35,0.007546905215320232
2025,M,36,0.007546905215320232
2025,M,37,0.007546905215320232
2025,M,38,0.007546905215320232
2025,M,39,0.007546905215320232
2025,M,40,0.009715789995344018
2025,M,41,0.009715789995344018
2025,M,42,0.009715789995344018
2025,M,43,0.009715789995344018
