year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2025,F,1,575758,0,0,0,FALSE
2025,F,2,572149,1,1,1,FALSE
2025,F,3,569634,2,2,2,FALSE
2025,F,4,594742,3,3,3,FALSE
2025,F,5,607639,4,4,4,FALSE
2025,F,6,588515,5,5,5,FALSE
2025,F,7,570373,6,6,6,FALSE
2025,F,8,547095,7,7,7,FALSE
2025,F,9,526994,8,8,8,FALSE
2025,F,10,514885,9,9,9,FALSE
2025,F,11,512827,10,10,10,FALSE
2025,F,12,518894,11,11,11,FALSE
2025,F,13,525570,12,12,12,FALSE
2025,F,14,530308,13,13,13,FALSE
2025,F,15,535290,14,14,14,FALSE
2025,F,16,2706495,15,19,15-19,TRUE
2025,F,17,2532950,20,24,20-24,TRUE
2025,F,18,2748485,25,29,25-29,TRUE
2025,F,19,2889803,30,34,30-34,TRUE
2025,F,20,2752804,35,39,35-39,TRUE
2025,F,21,2427662,40,44,40-44,TRUE
2025,F,22,1907412,45,49,45-49,FALSE
2025,F,23,1586122,50,54,50-54,FALSE
2025,F,24,1403331,55,59,55-59,FALSE
2025,F,25,1272464,60,64,60-64,FALSE
2025,F,26,1028389,65,69,65-69,FALSE
2025,F,27,742747,70,74,70-74,FALSE
2025,F,28,961070,75,Inf,75+,FALSE
2025,M,1,595389,0,0,0,FALSE
2025,M,2,591229,1,1,1,FALSE
2025,M,3,588322,2,2,2,FALSE
2025,M,4,603303,3,3,3,FALSE
2025,M,5,607041,4,4,4,FALSE
2025,M,6,588514,5,5,5,FALSE
2025,M,7,570920,6,6,6,FALSE
2025,M,8,548660,7,7,7,FALSE
2025,M,9,529289,8,8,8,FALSE
2025,M,10,517899,9,9,9,FALSE
2025,M,11,515775,10,10,10,FALSE
2025,M,12,521292.00000000006,11,11,11,FALSE
2025,M,13,528326,12,12,12,FALSE
2025,M,14,533937,13,13,13,FALSE
2025,M,15,539301,14,14,14,FALSE
2025,M,16,2731295,15,19,15-19,TRUE
2025,M,17,2597837,20,24,20-24,TRUE
2025,M,18,2746056,25,29,25-29,TRUE
2025,M,19,2814169,30,34,30-34,TRUE
2025,M,20,2705839,35,39,35-39,TRUE
2025,M,21,2401497,40,44,40-44,TRUE
2025,M,22,1859544,45,49,45-49,FALSE
2025,M,23,1430916,50,54,50-54,FALSE
2025,M,24,1146991,55,59,55-59,FALSE
2025,M,25,972575,60,64,60-64,FALSE
2025,M,26,750205,65,69,65-69,FALSE
2025,M,27,500107,70,74,70-74,FALSE
2025,M,28,475358,75,Inf,75+,FALSE
2026,F,1,577409,0,0,0,FALSE
2026,F,2,575200,1,1,1,FALSE
2026,F,3,572289,2,2,2,FALSE
2026,F,4,570193,3,3,3,FALSE
2026,F,5,595481,4,4,4,FALSE
2026,F,6,608460,5,5,5,FALSE
2026,F,7,589365,6,6,6,FALSE
2026,F,8,571203,7,7,7,FALSE
2026,F,9,547883,8,8,8,FALSE
2026,F,10,527726,9,9,9,FALSE
2026,F,11,515551.00000000006,10,10,10,FALSE
2026,F,12,513419,11,11,11,FALSE
2026,F,13,519403,12,12,12,FALSE
2026,F,14,525991,13,13,13,FALSE
2026,F,15,530660,14,14,14,FALSE
2026,F,16,2721952,15,19,15-19,TRUE
2026,F,17,2583557,20,24,20-24,TRUE
2026,F,18,2693936,25,29,25-29,TRUE
2026,F,19,2870789,30,34,30-34,TRUE
2026,F,20,2779572,35,39,35-39,TRUE
2026,F,21,2500005,40,44,40-44,TRUE
2026,F,22,1992790,45,49,45-49,FALSE
2026,F,23,1612544,50,54,50-54,FALSE
2026,F,24,1422002,55,59,55-59,FALSE
2026,F,25,1280083,60,64,60-64,FALSE
2026,F,26,1060366,65,69,65-69,FALSE
2026,F,27,772077,70,74,70-74,FALSE
2026,F,28,1004214,75,Inf,75+,FALSE
2026,M,1,597020,0,0,0,FALSE
2026,M,2,593922,1,1,1,FALSE
2026,M,3,590556,2,2,2,FALSE
2026,M,4,588201,3,3,3,FALSE
2026,M,5,603472,4,4,4,FALSE
2026,M,6,607380,5,5,5,FALSE
2026,M,7,588946,6,6,6,FALSE
2026,M,8,571381,7,7,7,FALSE
2026,M,9,549116,8,8,8,FALSE
2026,M,10,529716,9,9,9,FALSE
2026,M,11,518279,10,10,10,FALSE
2026,M,12,516092.99999999994,11,11,11,FALSE
2026,M,13,521533,12,12,12,FALSE
2026,M,14,528477,13,13,13,FALSE
2026,M,15,534009,14,14,14,FALSE
2026,M,16,2742076,15,19,15-19,TRUE
2026,M,17,2639019,20,24,20-24,TRUE
2026,M,18,2707205,25,29,25-29,TRUE
2026,M,19,2787656,30,34,30-34,TRUE
2026,M,20,2720775,35,39,35-39,TRUE
2026,M,21,2458755,40,44,40-44,TRUE
2026,M,22,1951179,45,49,45-49,FALSE
2026,M,23,1468412,50,54,50-54,FALSE
2026,M,24,1174259,55,59,55-59,FALSE
2026,M,25,974119,60,64,60-64,FALSE
2026,M,26,768412,65,69,65-69,FALSE
2026,M,27,519577,70,74,70-74,FALSE
2026,M,28,506204,75,Inf,75+,FALSE
2027,F,1,579129,0,0,0,FALSE
2027,F,2,576926,1,1,1,FALSE
2027,F,3,575372,2,2,2,FALSE
2027,F,4,572870,3,3,3,FALSE
2027,F,5,570976,4,4,4,FALSE
2027,F,6,596323,5,5,5,FALSE
2027,F,7,609309,6,6,6,FALSE
2027,F,8,590195,7,7,7,FALSE
2027,F,9,571989,8,8,8,FALSE
2027,F,10,548614,9,9,9,FALSE
2027,F,11,528393,10,10,10,FALSE
2027,F,12,516145.99999999994,11,11,11,FALSE
2027,F,13,513937,12,12,12,FALSE
2027,F,14,519833.99999999994,13,13,13,FALSE
2027,F,15,526354,14,14,14,FALSE
2027,F,16,2717928,15,19,15-19,TRUE
2027,F,17,2660646,20,24,20-24,TRUE
2027,F,18,2641654,25,29,25-29,TRUE
2027,F,19,2838382,30,34,30-34,TRUE
2027,F,20,2801380,35,39,35-39,TRUE
2027,F,21,2559940,40,44,40-44,TRUE
2027,F,22,2082781,45,49,45-49,FALSE
2027,F,23,1649418,50,54,50-54,FALSE
2027,F,24,1441818,55,59,55-59,FALSE
2027,F,25,1283782,60,64,60-64,FALSE
2027,F,26,1088999,65,69,65-69,FALSE
2027,F,27,800080,70,74,70-74,FALSE
2027,F,28,1052012,75,Inf,75+,FALSE
2027,M,1,598731,0,0,0,FALSE
2027,M,2,595617,1,1,1,FALSE
2027,M,3,593273,2,2,2,FALSE
2027,M,4,590451,3,3,3,FALSE
2027,M,5,588404,4,4,4,FALSE
2027,M,6,603823,5,5,5,FALSE
2027,M,7,607804,6,6,6,FALSE
2027,M,8,589401,7,7,7,FALSE
2027,M,9,571831,8,8,8,FALSE
2027,M,10,549538,9,9,9,FALSE
2027,M,11,530095,10,10,10,FALSE
2027,M,12,518600,11,11,11,FALSE
2027,M,13,516342,12,12,12,FALSE
2027,M,14,521693,13,13,13,FALSE
2027,M,15,528561,14,14,14,FALSE
2027,M,16,2735314,15,19,15-19,TRUE
2027,M,17,2704071,20,24,20-24,TRUE
2027,M,18,2668112,25,29,25-29,TRUE
2027,M,19,2755030,30,34,30-34,TRUE
2027,M,20,2728756,35,39,35-39,TRUE
2027,M,21,2504715,40,44,40-44,TRUE
2027,M,22,2041010,45,49,45-49,FALSE
2027,M,23,1515562,50,54,50-54,FALSE
2027,M,24,1204207,55,59,55-59,FALSE
2027,M,25,974305,60,64,60-64,FALSE
2027,M,26,783575,65,69,65-69,FALSE
2027,M,27,537355,70,74,70-74,FALSE
2027,M,28,540127,75,Inf,75+,FALSE
2028,F,1,580995,0,0,0,FALSE
2028,F,2,578846,1,1,1,FALSE
2028,F,3,577250,2,2,2,FALSE
2028,F,4,576081,3,3,3,FALSE
2028,F,5,573765,4,4,4,FALSE
2028,F,6,571937,5,5,5,FALSE
2028,F,7,597269,6,6,6,FALSE
2028,F,8,610216,7,7,7,FALSE
2028,F,9,591051,8,8,8,FALSE
2028,F,10,572784,9,9,9,FALSE
2028,F,11,549340,10,10,10,FALSE
2028,F,12,529046,11,11,11,FALSE
2028,F,13,516721,12,12,12,FALSE
2028,F,14,514426.00000000006,13,13,13,FALSE
2028,F,15,520254,14,14,14,FALSE
2028,F,16,2704162,15,19,15-19,TRUE
2028,F,17,2746164,20,24,20-24,TRUE
2028,F,18,2600535,25,29,25-29,TRUE
2028,F,19,2798291,30,34,30-34,TRUE
2028,F,20,2816490,35,39,35-39,TRUE
2028,F,21,2608023,40,44,40-44,TRUE
2028,F,22,2172419,45,49,45-49,FALSE
2028,F,23,1698849,50,54,50-54,FALSE
